IDENT	NAME	Line#	Type	Current Hint(s)
dta_btn_scan	Scan	4246	Button	(none)
dta_str_filter		4319	Chooser	(none)
dta_lb_tools	ListBrowser_142	4350	ListBrowser	(none)
dta_lv_status	ListView_143	4435	ListView	(none)
dta_btn_replace_batch	Replace Tool (Batch)...	4537	Button	(none)
dta_btn_restore_backup	Restore Default Tools Backup...	4571	Button	(none)
dta_btn_replace_single	Replace Tool (Single)...	4644	Button	(none)
dta_btn_close	Close	4678	Button	(none)
dtu_lbl_current_tool	Current Tool:	4895	Button	(none)
dtu_lbl_mode	Mode:	4929	Button	(none)
dtu_lbl_change_to	Change To:	4963	Button	(none)
dtu_txt_current_tool	Current Tool Text	5036	Button	(none)
dtu_txt_current_mode	Current Mode Text	5070	Button	(none)
dtu_ch_new_tool		5104	GetFile	(none)
dtu_lbl_progress	Update Progress	5183	Label	(none)
dtu_lb_progress	ListBrowser_179	5209	ListBrowser	(none)
dtu_btn_update	Update Default Tool	5294	Button	(none)
dtu_btn_close	Close	5328	Button	(none)
rdt_lbl_sessions	Backup Sessions:	5506	Label	(none)
rdt_lb_sessions	ListBrowser_185	5532	ListBrowser	(none)
rdt_lbl_changes	Tool Changes In Session	5617	Label	(none)
rdt_lb_changes	ListBrowser_193	5643	ListBrowser	(none)
rdt_btn_restore	Restore	5728	Button	(none)
rdt_btn_delete	Delete	5762	Button	(none)
rdt_btn_close	Close	5796	Button	(none)
dfs_lb_targets	ListBrowser_269	6013	ListBrowser	Select the file types to create icons for. This list comes from the "DefaultIcons" Preferences tool in the Workbench Prefs drawer.
dfs_btn_select_all	Select All	6138	Button	Select all file types in the list above. Note: this may create icons for any files that do not already have an icon, including system files. Use with care.
dfs_btn_show_default_tools	Show Default Tools	6173	Button	Scans the default icons and displays the Default Tool for each entry in the list above.
dfs_btn_select_none	Select None	6247	Button	Deselects all selected file types.
dfs_btn_change_default_tools	Change Default Tool...	6282	Button	Change the Default Tool for the selected icon. If needed, a default icon is created automatically. Changes apply immediately.
dfs_btn_ok	OK	6356	Button	Saves changes.
dfs_btn_cancel	Cancel	6391	Button	Closes the window without saving changes. Note: Default Tool changes are applied immediately and saved automatically.
dco_mode_folder_icons	Folder Icons:	6620	Chooser	Creates missing drawer icons. "Smart" scans the subfolder to see whether it contains icons or content that needs icons. If it does, it creates a drawer icon.
dco_cb_skip_whdload_folders	Skip Icon Creation Inside WHDLoad Folders	6652	Checkbox	Selecting this will prevent iTidy cluttering up an WHDLoad game folder with new icons.
dco_cb_text_previews	Text File Previews	6742	Checkbox	When enabled, iTidy can create thumbnail-style icons for text files by rendering the file contents onto the icon.
dco_btn_manage_templates	Manage Templates...	6771	Button	Opens the Text Templates window to edit how text previews are rendered.
dco_cb_picture_previews	Picture File Previews	6845	Checkbox	Creates thumbnail icons for recognised picture files (formats selected below).
dco_lbl_picture_types	Picture Formats:	6896	Label	(none)
dco_cb_pic_ilbm	ILBM (IFF)	7000	Checkbox	Creates thumbnails for Amiga IFF ILBM/PBM images.
dco_cb_pic_jpeg	JPEG (Slow)	7029	Checkbox	Creates thumbnails for JPEG images (slow to decode on 68k).
dco_cb_pic_png	PNG	7097	Checkbox	Creates thumbnails for PNG images and supports transparency.
dco_cb_pic_acbm	ACBM	7126	Checkbox	Creates thumbnails for ACBM (Amiga Continuous Bitmap) images. This is a rare Amiga bitmap format, often seen in older demos or game asset data.
dco_cb_pic_gif	GIF	7194	Checkbox	Creates thumbnails for GIF images and supports transparency.
dco_cb_pic_other	Other	7223	Checkbox	Other image formats (not covered above) if supported by installed DataTypes and DefIcons.
dco_cb_pic_bmp	BMP	7291	Checkbox	Creates thumbnails for BMP images.
dco_lbl_refresh_options	When Re-Running (iTidy Previews Only):	7381	Label	(none)
dco_cb_replace_image_thumbnails	Replace Existing Image Thumbnails	7407	Checkbox	When enabled, iTidy will delete and recreate any image thumbnail icons it previously made (identified by the ITIDY_CREATED ToolType). User-placed icons are never affected.
dco_cb_replace_text_previews	Replace Existing Text Previews	7436	Checkbox	When enabled, iTidy will delete and recreate any text preview icons it previously made. Useful after changing rendering settings. User-placed icons are never affected.
dco_mode_preview_size	Preview Size:	7543	Chooser	Sets the thumbnail canvas size used inside generated icons.
dco_mode_thumbnail_frame	Thumbnail Border:	7575	Chooser	Border style for thumbnail icons. Workbench: classic WB frame around the icon. Bevel: inner highlight drawn onto the image pixels (top-left bright, bottom-right dark). Smart modes skip the effe
dco_cb_upscale_thumbnails	Upscale Small Images To Icon Size	7607	Checkbox	If enabled, small images are scaled up to fill the thumbnail area.
dco_lbl_color_settings	Colour Reduction:	7675	Label	(none)
dco_mode_max_colors	Max Colours:	7701	Chooser	Limits the number of colours used in thumbnails. Lower is faster; higher looks better.
dco_mode_dither	Dithering:	7733	Chooser	Selects the dithering method used when reducing colours.
dco_mode_lowcolor_mapping	Low-Colour Palette:	7765	Chooser	Palette mapping used at 4 or 8 colours (disabled above 8 colours or in Ultra).
dco_btn_creation_setup	Icon Creation Setup...	7880	Button	(none)
dco_btn_exclude_paths	Exclude Paths...	7914	Button	(none)
dco_btn_ok	OK	8031	Button	(none)
dco_btn_cancel	Cancel	8065	Button	(none)
